YearArtist,Popularity,Year,topArtist
"2010 
 Train",83,2010,Train
"2011 
 Christina Perri",81,2011,Christina Perri
"2012 
 David Guetta",80,2012,David Guetta
"2013 
 Kelly Clarkson",88,2013,Kelly Clarkson
"2014 
 John Legend",86,2014,John Legend
"2015 
 Ed Sheeran",84,2015,Ed Sheeran
"2016 
 The Weeknd",84,2016,The Weeknd
"2017 
 Ed Sheeran",87,2017,Ed Sheeran
"2018 
 Calvin Harris",86,2018,Calvin Harris
"2019 
 Maroon 5",99,2019,Maroon 5
